OMIM ID,Disease,Protein Associated
606595,"Charcot–Marie–Tooth disease, axonal, type 2F",HSPB1
607831,"Charcot–Marie–Tooth disease, axonal, type 2K",GDAP1
608673,"Charcot–Marie–Tooth disease, axonal, type 2L",HSPB8
606482,"Charcot–Marie–Tooth disease, axonal, type 2M",DNM2
613287,"Charcot–Marie–Tooth disease, axonal, type 2N",AARS
607706,"Charcot–Marie–Tooth disease, axonal, with vocal cord paresis",GDAP1
607791,"Charcot–Marie–Tooth disease, dominant intermediate 3",MPZ
606482,"Charcot–Marie–Tooth disease, dominant intermediate B",DNM2
608323,"Charcot–Marie–Tooth disease, dominant intermediate C",YARS
608340,"Charcot–Marie–Tooth disease, recessive intermediate, A",GDAP1
613641,"Charcot–Marie–Tooth disease, recessive intermediate, B",KARS
118220,Charcot–Marie–Tooth disease type 1A,PMP22
118200,Charcot–Marie–Tooth disease type 1B,MPZ
601098,Charcot–Marie–Tooth disease type 1C,LITAF
607678,Charcot–Marie–Tooth disease type 1D,EGR2
118300,Charcot–Marie–Tooth disease type 1E,PMP22
607734,Charcot–Marie–Tooth disease type 1F,NEFL
118210,Charcot–Marie–Tooth disease type 2A1,KIF1B
609260,Charcot–Marie–Tooth disease type 2A2,MFN2
600882,Charcot–Marie–Tooth disease type 2B,RAB7
605588,Charcot–Marie–Tooth disease type 2B1,LMNA
605589,Charcot–Marie–Tooth disease type 2B2,MED25
601472,Charcot–Marie–Tooth disease type 2D,GARS
607684,Charcot–Marie–Tooth disease type 2E,NEFL
607677,Charcot–Marie–Tooth disease type 2I,MPZ
607736,Charcot–Marie–Tooth disease type 2J,MPZ
214400,Charcot–Marie–Tooth disease type 4A,GDAP1
601382,Charcot–Marie–Tooth disease type 4B1,MTMR2
604563,Charcot–Marie–Tooth disease type 4B2,SBF2
601596,Charcot–Marie–Tooth disease type 4C,SH3TC2
601455,Charcot–Marie–Tooth disease type 4D,NDRG1
145900,Charcot–Marie–Tooth disease type 4F,PRX
609311,Charcot–Marie–Tooth disease type 4H,FGD4
611228,Charcot–Marie–Tooth disease type 4J,FIG4
311070,"Charcot–Marie–Tooth disease, X-linked recessive, 5",PRPS1
302800,"Charcot–Marie–Tooth neuropathy, X-linked dominant, 1",GJB1
214800,CHARGE syndrome,CHD7
214800,CHARGE syndrome,SEMA3E
214500,Chédiak–Higashi syndrome,CHS1
118400,Cherubism,SH3BP2
610448,Chilblain lupus,TREX1
308050,CHILD syndrome,NSDHL
214700,"Chloride diarrhea, congenital, Finnish type",SLC26A3
605479,"Cholestasis, benign recurrent intrahepatic, 2",ABCB11
243300,"Cholestasis, benign recurrent intrahepatic",ATP8B1
147480,"Cholestasis, familial intrahepatic, of pregnancy",ABCB4
211600,"Cholestasis, progressive familial intrahepatic 1",ATP8B1
601847,"Cholestasis, progressive familial intrahepatic 2",ABCB11
602347,"Cholestasis, progressive familial intrahepatic 3",ABCB4
607765,"Cholestasis, progressive familial intrahepatic 4",HSD3B7
278000,Cholesteryl ester storage disease,LIPA
118600,Chondrocalcinosis 2,ANKH
222765,"Chondrodysplasia punctata, rhizomelic, type 2",GNPAT
302960,"Chondrodysplasia punctata, X-linked dominant",EBP
302950,"Chondrodysplasia punctata, X-linked recessive",ARSE
215045,"Chondrodysplasia, Blomstrand type",PTHR1
200700,"Chondrodysplasia, Grebe type",GDF5
215300,Chondrosarcoma,EXT1
612237,"Chondrosarcoma, extraskeletal myxoid",TAF15
612237,"Chondrosarcoma, extraskeletal myxoid",TFG
612237,"Chondrosarcoma, extraskeletal myxoid",CSMF
118700,"Chorea, hereditary benign",NKX2-1
200150,Choreoacanthocytosis,VPS13A
610978,"Choreoathetosis, hypothyroidism, and neonatal respiratory distress",NKX2-1
613105,"Choriodal dystrophy, central areolar 2,",PRPH2
260500,Choroid plexus papilloma,TP53
303100,Choroideremia,CHM
606232,Chromosome 22q13.3 deletion syndrome,SHANK3
613443,Chromosome 5q14.3 deletion syndrome,MEF2C
609441,"Chrondrodysplasia, acromesomelic, with genital anomalies",BMPR1B
233700,Chronic granulomatous disease due to deficiency of NCF-1,NCF1
233710,Chronic granulomatous disease due to deficiency of NCF-2,NCF2
233690,"Chronic granulomatous disease, autosomal, due to deficiency of CYBA",CYBA
306400,"Chronic granulomatous disease, X-linked",CYBB
246700,Chylomicron retention disease,SAR1B
244400,"Ciliary dyskinesia, primary, 1, with or without situs inversus",DNAI1
612518,"Ciliary dyskinesia, primary, 10",KTU
612649,"Ciliary dyskinesia, primary, 11",RSPH4A
612650,"Ciliary dyskinesia, primary, 12",RSPH9
613193,"Ciliary dyskinesia, primary, 13",LRRC50
608644,"Ciliary dyskinesia, primary, 3, with or without situs inversus",DNAH5
610852,"Ciliary dyskinesia, primary, 6",TXNDC3
611884,"Ciliary dyskinesia, primary, 7, with or without situs inversus",DNAH11
612444,"Ciliary dyskinesia, primary, 9, with or without situs inversus",DNAI2
607115,CINCA syndrome,NLRP3
604901,"Cirrhosis, North American Indian childhood type",CIRH1A
215700,Citrullinemia,ASS1
603471,"Citrullinemia, adult-onset type II",SLC25A13
605814,"Citrullinemia, type II, neonatal-onset",SLC25A13
225060,Cleft lip/palate-ectodermal dysplasia syndrome,HVEC
119540,Cleft palate and mental retardation,SATB2
303400,Cleft palate with ankyloglossia,TBX22
119540,"Cleft palate, isolated",UBB
119600,Cleidocranial dysplasia,RUNX2
605039,C-like syndrome,CD96
609535,"Clopidogrel, impaired responsiveness to",CYP2C
119800,"Clubfoot, congenital",PITX1
216360,COACH syndrome,CC2D2A
216360,COACH syndrome,RPGRIP1L
216360,COACH syndrome,TMEM67
216400,Cockayne syndrome type A,ERCC8
133540,Cockayne syndrome type B,ERCC6
613630,Cocoon syndrome,CHUK
607426,Coenzyme Q10 deficiency,APTX
607426,Coenzyme Q10 deficiency,CABC1
607426,Coenzyme Q10 deficiency,COQ2
607426,Coenzyme Q10 deficiency,COQ9
607426,Coenzyme Q10 deficiency,PDSS1
607426,Coenzyme Q10 deficiency,PDSS2
303600,Coffin–Lowry syndrome,RPS6KA3
216550,Cohen syndrome,COH1
120100,"Cold-induced autoinflammatory syndrome, familial",NLRP3
610313,Cold-induced sweating syndrome 1,CLCF1
272430,Cold-induced sweating syndrome,CRLF1
120430,Coloboma of optic nerve,PAX6
120200,"Coloboma, ocular",PAX6
120200,"Coloboma, ocular",SHH
114500,"Colon cancer, somatic",PTPRJ
303800,"Colorblindness, deutan",OPN1MW
190900,"Colorblindness, tritan",OPN1SW
132600,"Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas",MUTYH
114500,Colorectal cancer,AXIN2
114500,Colorectal cancer,BUB1B
114500,Colorectal cancer,EP300
114500,Colorectal cancer,NRAS
114500,Colorectal cancer,PDGFRL
114500,Colorectal cancer,TP53
120435,"Colorectal cancer, hereditary nonpolyposis, type 1",MSH2
609310,"Colorectal cancer, hereditary nonpolyposis, type 2",MLH1
613244,"Colorectal cancer, hereditary nonpolyposis, type I",EPCAM
109800,"Colorectal cancer, somatic",FGFR3
114500,"Colorectal cancer, somatic",AKT1
114500,"Colorectal cancer, somatic",APC
114500,"Colorectal cancer, somatic",FLCN
114500,"Colorectal cancer, somatic",MLH3
114500,"Colorectal cancer, somatic",PIK3CA
233650,Combined cellular and humoral immune defects with granulomas,RAG1
233650,Combined cellular and humoral immune defects with granulomas,RAG2
227300,Combined factor V and VIII deficiency,LMAN1
144250,"Combined hyperlipidemia, familial",LPL
312863,"Combined immunodeficiency, X-linked, moderate",IL2RG
609060,Combined oxidative phosphorylation deficiency 1,GFM1
610498,Combined oxidative phosphorylation deficiency 2,MRPS16
610505,Combined oxidative phosphorylation deficiency 3,TSFM
610678,Combined oxidative phosphorylation deficiency 4,TUFM
611719,Combined oxidative phosphorylation deficiency 5,MRPS22
300816,Combined oxidative phosphorylation deficiency 6,AIFM1
611721,Combined SAP deficiency,PSAP
120790,"Complement component 4, partial deficiency of",C1NH
609814,Complement factor H deficiency,HF1
610984,Complement factor I deficiency,CFI
252010,"Complex I, mitochondrial respiratory chain, deficiency of",NDUFS6
613093,Cone dystrophy 4,PDE6C
602093,Cone dystrophy-3,GUCA1A
610283,Cone–rod dystrophy 10,SEMA4A
610381,Cone–rod dystrophy 11,RAXL1
612657,Cone–rod dystrophy 12,PROM1
608194,Cone–rod dystrophy 13,RPGRIP1
602093,Cone–rod dystrophy 14,GUCA1A
613660,Cone–rod dystrophy 15,CDHR1
604116,Cone–rod dystrophy 3,ABCA4
600977,Cone–rod dystrophy 5,PITPNM3
601777,Cone–rod dystrophy,GUCY2D
603649,Cone–rod dystrophy 7,RIMS1
612775,Cone–rod dystrophy 9,ADAM9
300476,"Cone–rod dystrophy, X-linked, 3",CACNA1F
304020,Cone–rod dystrophy-1,RPGR
120970,Cone–rod retinal dystrophy-2,CRX
277180,Congenital bilateral absence of vas deferens,CFTR
604168,"Congenital cataracts, facial dysmorphism, and neuropathy",CTDP1
212065,"Congenital disorder of glycosylation, type Ia",PMM2
603147,"Congenital disorder of glycosylation, type Ic",ALG6
601110,"Congenital disorder of glycosylation, type Id",ALG3
608799,"Congenital disorder of glycosylation, type Ie",DPM1
609180,"Congenital disorder of glycosylation, type If",MPDU1
607143,"Congenital disorder of glycosylation, type Ig",ALG12
608104,"Congenital disorder of glycosylation, type Ih",ALG8
607906,"Congenital disorder of glycosylation, type Ii",ALG2
212066,"Congenital disorder of glycosylation, type IIA",MGAT2
606056,"Congenital disorder of glycosylation, type IIb",GCS1
266265,Congenital disorder of glycosylation type IIc,SLC35C1
607091,"Congenital disorder of glycosylation, type IId",B4GALT1
608779,"Congenital disorder of glycosylation, type IIe",COG7
603585,"Congenital disorder of glycosylation, type IIf",SLC35A1
611209,"Congenital disorder of glycosylation, type IIg",COG1
611182,"Congenital disorder of glycosylation, type IIh",COG8
613489,"Congenital disorder of glycosylation, type IIj",COG4
608093,"Congenital disorder of glycosylation, type Ij",DPAGT2
608540,"Congenital disorder of glycosylation, type Ik",ALG1
608776,"Congenital disorder of glycosylation, type Il",ALG9
610768,"Congenital disorder of glycosylation, type Im",TMEM15
612015,"Congenital disorder of glycosylation, type In",RFT1
612937,"Congenital disorder of glycosylation, type Io",DPM3
612379,"Congenital disorder of glycosylation, type Ip",SRD5A3
306955,"Congenital heart defects, nonsyndromic, 1, X-linked",ZIC3
612863,"Congenital heart disease, nonsyndromic, 2",TAB2
217090,"Conjunctivitis, ligneous",PLG
217095,Conotruncal anomaly face syndrome,TBX1
121050,"Contractural arachnodactyly, congenital",FBN2
607745,"Convulsions, benign familial infantile, 3",SCN2A1
604352,"Convulsions, familial febrile, 4",GPR98
606963,"COPD, rate of decline of lung function in",MMP1
121300,Coproporphyria,CPOX
217300,"Cornea plana congenita, recessive",KERA
609140,"Corneal dystrophy polymorphous posterior, 2",COL8A2
607541,"Corneal dystrophy, Avellino type",TGFBI
610048,"Corneal dystrophy, congenital stromal",DCN
121800,"Corneal dystrophy, crystalline, of Schnyder",UBIAD1
121820,"Corneal dystrophy, epithelial basement membrane",TGFBI
136800,"Corneal dystrophy, Fuchs endothelial, 1",COL8A2
613268,"Corneal dystrophy, Fuchs endothelial, 4",SLC4A11
613270,"Corneal dystrophy, Fuchs endothelial, 6",ZEB1
204870,"Corneal dystrophy, gelatinous drop-like",TACSTD2
121900,"Corneal dystrophy, Groenouw type I",TGFBI
122000,"Corneal dystrophy, hereditary polymorphous posterior",VSX1
122200,"Corneal dystrophy, lattice type I",TGFBI
608471,"Corneal dystrophy, lattice type IIIA",TGFBI
609141,"Corneal dystrophy, posterior polymorphous, 3",ZEB1
608470,"Corneal dystrophy, Reis-Bucklers type",TGFBI
602082,"Corneal dystrophy, Thiel-Behnke type",TGFBI
217700,Corneal endothelial dystrophy 2,SLC4A11
217400,Corneal endothelial dystrophy and perceptive deafness,SLC4A11
121850,Corneal fleck dystrophy,PIKFYVE
122470,Cornelia de Lange syndrome 1,NIPBL
300590,Cornelia de Lange syndrome 2,DXS423E
610759,Cornelia de Lange syndrome 3,CSPG6
300472,"Corpus callosum, agenesis of, with mental retardation, ocular coloboma and micrognathia",IGBP1
304100,"Corpus callosum, partial agenesis of",L1CAM
610042,Cortical dysplasia-focal epilepsy syndrome,CNTNAP2
611489,Corticosteroid-binding globulin deficiency,CBG
604931,Cortisone reductase deficiency,H6PD
604931,Cortisone reductase deficiency,HSD11B1
218040,Costello syndrome,HRAS
122700,Coumarin resistance,CYP2A6
260660,Cousin syndrome,TBX15
158350,Cowden syndrome,PTEN
612359,Cowden-like syndrome,SDHB
612359,Cowden-like syndrome,SDHD
255120,"CPT deficiency, hepatic, type IA",CPT1A
600649,"CPT deficiency, hepatic, type II",CPT2
608836,"CPT II deficiency, lethal neonatal",CPT2
218330,Cranioectodermal dysplasia,IFT122
122880,Craniofacial-deafness-hand syndrome,PAX3
304110,Craniofrontonasal dysplasia,EFNB1
607812,Cranio-lenticulo-sutural dysplasia,SEC23A
123000,Craniometaphyseal dysplasia,ANKH
259100,Cranioosteoarthropathy,HPGD
123100,"Craniosynostosis, type 1",TWIST1
604757,"Craniosynostosis, type 2",MSX2
303350,CRASH syndrome,L1CAM
300352,"Creatine deficiency syndrome, X-linked",SLC6A8
123320,"Creatine phosphokinase, elevated serum",CAV3
123400,Creutzfeldt–Jakob disease,PRNP
218800,Crigler–Najjar syndrome type I,UGT1A1
606785,Crigler–Najjar syndrome type II,UGT1A1
601378,Crisponi syndrome,CRLF1
612247,Crouzon syndrome with acanthosis nigricans,FGFR3
123500,Crouzon syndrome,FGFR2
219050,"Cryptorchidism, bilateral",LGR8
219050,"Cryptorchidism, idiopathic",INSL3
176450,Currarino syndrome,MNX1
613177,"Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities",LTBP4
123700,"Cutis laxa, AD",ELN
123700,"Cutis laxa, autosomal dominant",FBLN5
219100,"Cutis laxa, autosomal recessive",FBLN5
219100,"Cutis laxa, autosomal recessive, type I",EFEMP2
219200,"Cutis laxa, autosomal recessive, type II",ATP6V0A2
612940,"Cutis laxa, autosomal recessive, type IIB",PYCR1
219100,"Cutis laxa, recessive, type I",LOX
132700,"Cylindromatosis, familial",CYLD1
219500,Cystathioninuria,CTH
219700,Cystic fibrosis,CFTR
219900,"Cystinosis, late-onset juvenile or adolescent nephropathic",CTNS
219800,"Cystinosis, nephropathic",CTNS
219750,"Cystinosis, ocular nonnephropathic",CTNS
220100,Cystinuria,SLC3A1
220100,Cystinuria,SLC7A9
220110,Cytochrome C oxidase deficiency,COX6B1
600721,D-2-hydroxyglutaric aciduria,D2HGDH
220200,Dandy–Walker malformation,ZIC1
220200,Dandy–Walker malformation,ZIC4
124200,Darier disease,ATP2A2
612541,Darsun syndrome,G6PC3
261515,D-bifunctional protein deficiency,HSD17B4
256050,De la Chapelle dysplasia,SLC26A2
278800,De Sanctis–Cacchione syndrome,ERCC6
124900,"Deafness, autosomal dominant 1",DIAPH1
601316,"Deafness, autosomal dominant 10",EYA4
601317,"Deafness, autosomal dominant 11, neurosensory",MYO7A
601868,"Deafness, autosomal dominant 13",COL11A2
602459,"Deafness, autosomal dominant 15",POU4F3
603622,"Deafness, autosomal dominant 17",MYH9
604717,"Deafness, autosomal dominant 20/26",ACTG1
606346,"Deafness, autosomal dominant 22",MYO6
605192,"Deafness, autosomal dominant 23",SIX1
605583,"Deafness, autosomal dominant 25",SLC17A8
608641,"Deafness, autosomal dominant 28",GRHL2
600101,"Deafness, autosomal dominant 2A",KCNQ4
612644,"Deafness, autosomal dominant 2B",GJB3
606705,"Deafness, autosomal dominant 36",TMC1
605594,"Deafness, autosomal dominant 36, with dentinogenesis",DSPP
601544,"Deafness, autosomal dominant 3A",GJB2
612643,"Deafness, autosomal dominant 3B",GJB6
600652,"Deafness, autosomal dominant 4",MYH14
607453,"Deafness, autosomal dominant 44",CCDC50
607841,"Deafness, autosomal dominant 48",MYO1A
600994,"Deafness, autosomal dominant 5",DFNA5
613074,"Deafness, autosomal dominant 50",MIR96
601543,"Deafness, autosomal dominant 8/12",TECTA
601369,"Deafness, autosomal dominant 9",COCH
605316,"Deafness, autosomal recessive 10, congenital",TMPRSS3
601386,"Deafness, autosomal recessive 12",CDH23
603720,"Deafness, autosomal recessive 16",STRC
602092,"Deafness, autosomal recessive 18",USH1C
220290,"Deafness, autosomal recessive 1A",GJB2
612645,"Deafness, autosomal recessive 1B",GJB6
600060,"Deafness, autosomal recessive 2, neurosensory",MYO7A
603629,"Deafness, autosomal recessive 21",TECTA
607039,"Deafness, autosomal recessive 22",OTOA
609533,"Deafness, autosomal recessive 23",PCDH15
613285,"Deafness, autosomal recessive 25",GRXCR1
609823,"Deafness, autosomal recessive 28",TRIOBP
600316,"Deafness, autosomal recessive 3",MYO15A
607101,"Deafness, autosomal recessive 30",MYO3A
607084,"Deafness, autosomal recessive 31",WHRN
608565,"Deafness, autosomal recessive 35",ESRRB
609006,"Deafness, autosomal recessive 36",ESPN
607821,"Deafness, autosomal recessive 37",MYO6
608265,"Deafness, autosomal recessive 39",HGF
610153,"Deafness, autosomal recessive 49",MARVELD2
609706,"Deafness, autosomal recessive 53",COL11A2
610220,"Deafness, autosomal recessive 59",PJVK
600971,"Deafness, autosomal recessive 6",TMIE
611451,"Deafness, autosomal recessive 63",LRTOMT
610265,"Deafness, autosomal recessive 67",LHFPL5
600974,"Deafness, autosomal recessive 7",TMC1
613079,"Deafness, autosomal recessive 77",LOXHD1
613307,"Deafness, autosomal recessive 79",TPRN
601072,"Deafness, autosomal recessive 8, childhood onset",TMPRSS3
613391,"Deafness, autosomal recessive 84",PTPRQ
601071,"Deafness, autosomal recessive 9",OTOF
613453,"Deafness, autosomal recessive 91",SERPINB6
611022,"Deafness, autosomal recessive, 24",RDX
610706,"Deafness, congenital with inner ear agenesis, microtia, and microdontia",FGF3
220290,"Deafness, digenic GJB2/GJB6",GJB6
220290,"Deafness, digenic, GJB2/GJB3",GJB3
606346,"Deafness, sensorineural, with hypertrophic cardiomyopathy",MYO6
304500,"Deafness, X-linked 1",PRPS1
304400,"Deafness, X-linked 2",POU3F4
603528,"Dehydrated hereditary stomatocytosis, pseudohyperkalemia, and perinatal edema",PIEZO1
145900,Dejerine–Sottas disease,PMP22
145900,Dejerine–Sottas neuropathy,EGR2
145900,"Dejerine–Sottas neuropathy, autosomal recessive",PRX
145900,Dejerine–Sottas syndrome,MPZ
176500,"Dementia, familial British",ITM2B
117300,"Dementia, familial Danish",ITM2B
600795,"Dementia, familial, nonspecific",CHMP2B
600274,"Dementia, frontotemporal",PSEN1
600274,"Dementia, frontotemporal, with or without parkinsonism",MAPT
127750,"Dementia, Lewy body",SNCA
127750,"Dementia, Lewy body",SNCB
300555,Dent's disease 2,OCRL
300009,Dent's disease,CLCN5
125370,Dentatorubr–pallidoluysian atrophy,ATN1
125420,"Dentin dysplasia, type II",DSPP
125490,"Dentinogenesis imperfecta, Shields type II",DSPP
125500,"Dentinogenesis imperfecta, Shields type III",DSPP
194080,Denys–Drash syndrome,WT1
125595,Dermatopathia pigmentosa reticularis,KRT14
251450,Desbuquois dysplasia,CANT1
135290,"Desmoid disease, hereditary",APC
602398,Desmosterolosis,DHCR24
125800,"Diabetes insipidus, nephrogenic",AQP2
304800,"Diabetes insipidus, nephrogenic",AVPR2
125700,"Diabetes insipidus, neurohypophyseal",AVP
125851,"Diabetes mellitus, gestational",GCK
125852,"Diabetes mellitus, insulin-dependent, 2",INS
612520,"Diabetes mellitus, insulin-dependent, 20",HNF1A
610549,"Diabetes mellitus, insulin-resistant, with acanthosis nigricans",INSR
612227,"Diabetes mellitus, ketosis-prone",PAX4
610199,"Diabetes mellitus, neonatal, with congenital hypothyroidism",GLIS3
125853,"Diabetes mellitus, noninsulin-dependent",ABCC8
125853,"Diabetes mellitus, noninsulin-dependent",HNF1B
125853,"Diabetes mellitus, noninsulin-dependent, late onset",GCK
606176,"Diabetes mellitus, permanent neonatal",ABCC8
606176,"Diabetes mellitus, permanent neonatal",GCK
606176,"Diabetes mellitus, permanent neonatal",INS
609069,"Diabetes mellitus, permanent neonatal, with cerebellar agenesis",PTF1A
606176,"Diabetes mellitus, permanent neonatal, with neurologic features",KCNJ11
610374,"Diabetes mellitus, transient neonatal 2",ABCC8
601410,"Diabetes mellitus, transient neonatal, 1",ZFP57
610582,"Diabetes mellitus, transient neonatal, 3",KCNJ11
125852,"Diabetes mellitus, type 1",INS
125853,"Diabetes mellitus, type 2",PAX4
125853,Diabetes mellitus type II,AKT2
606176,"Diabetes, permanent neonatal",KCNJ11
105650,Diamond–Blackfan anemia 1,RPS19
613309,Diamond–Blackfan anemia 10,RPS26
612527,Diamond-Blackfan anemia 4,RPS17
612528,Diamond–Blackfan anemia 5,RPL35A
612561,Diamond–Blackfan anemia 6,RPL5
612562,Diamond–Blackfan anemia 7,RPL11
612563,Diamond–Blackfan anemia 8,RPS7
613308,Diamond–Blackfan anemia 9,RPS10
610629,Diamond–Blackfan anemia,RPS24
610187,Diaphragmatic hernia 3,ZFPM2
270420,"Diarrhea 3, secretory sodium, congenital, syndromic",SPINT2
610370,"Diarrhea 4, malabsorptive, congenital",NEUROG3
613217,"Diarrhea 5, with tufting enteropathy, congenital",EPCAM
222600,Diastrophic dysplasia,SLC26A2
222600,"Diastrophic dysplasia, broad bone-platyspondylic variant",SLC26A2
222730,Dicarboxylic aminoaciduria,SLC1A1
188400,DiGeorge syndrome,TBX1
119900,"Digital clubbing, isolated congenital",HPGD
274270,Dihydropyrimidine dehydrogenase deficiency,DPYD
222748,Dihydropyrimidinuria,DPYS
605676,Dilated cardiomyopathy with woolly hair and keratoderma,DSP
605850,Dimethylglycine dehydrogenase deficiency,DMGDH
201750,"Disordered steroidogenesis, isolated",POR
222448,Donnai–Barrow syndrome,LRP2
223360,Dopamine beta-hydroxylase deficiency,DBH
300018,Dosage-sensitive sex reversal,DAX1
217095,Double outlet right ventricle,CFC1
217095,Double outlet right ventricle,GDF1
179850,Dowling–Degos disease,KRT5
126600,Doyne honeycomb degeneration of retina,EFEMP1
607208,Dravet syndrome,SCN1A
604356,Duane retraction syndrome 2,CHN1
607323,Duane-radial ray syndrome,SALL4
237500,Dubin–Johnson syndrome,ABCC2
310200,Duchenne muscular dystrophy,DMD
223800,Dyggve–Melchior–Clausen disease,DYM
223900,"Dysautonomia, familial",IKBKAP
127400,Dyschromatosis symmetrica hereditaria,ADAR
300367,Dyserythropoietic anemia with thrombocytopenia,GATA1
127550,Dyskeratosis congenita,TERT
224230,Dyskeratosis congenita,NOLA2
127550,"Dyskeratosis congenita, autosomal dominant",TERC
127550,"Dyskeratosis congenita, autosomal dominant",TINF2
224230,"Dyskeratosis congenita, autosomal recessive",NOLA3
305000,Dyskeratosis congenita-1,DKC1
224410,"Dyssegmental dysplasia, Silverman-Handmaker type",HSPG2
612067,Dystonia 16,PRKRA
602629,"Dystonia 6, torsion",THAP1
612716,"Dystonia, dopa-responsive, due to sepiapterin reductase deficiency",SPR
233910,"Dystonia, DOPA-responsive, with or without hyperphenylalainemia",GCH1
607371,"Dystonia, juvenile-onset",ACTB
159900,"Dystonia, myoclonic",DRD2
128100,"Dystonia-1, torsion",DYT1
159900,"Dystonia-11, myoclonic",SGCE
128235,Dystonia-12,ATP1A3
612953,"Dystonia-parkinsonism, adult-onset",PLA2G6
314250,"Dystonia-Parkinsonism, X-linked",TAF1
226600,EBD inversa,COL7A1
132000,"EBD, Bart type",COL7A1
129490,"Ectodermal dysplasia, anhidrotic, autosomal dominant",EDARADD
224900,"Ectodermal dysplasia, anhidrotic, autosomal recessive",EDARADD
612132,"Ectodermal dysplasia, anhidrotic, with T-cell immunodeficiency",NFKBIA
305100,"Ectodermal dysplasia, anhidrotic, X-linked",ED1
225280,"Ectodermal dysplasia, ectrodactyly, and macular dystrophy",CDH3
129500,"Ectodermal dysplasia, hidrotic",GJB6
129490,"Ectodermal dysplasia, hypohidrotic, autosomal dominant",EDAR
224900,"Ectodermal dysplasia, hypohidrotic, autosomal recessive",EDAR
300291,"Ectodermal dysplasia, hypohidrotic, with immune deficiency",IKBKG
602032,"Ectodermal dysplasia, 'pure' hair-nail type",KRT85
604536,Ectodermal dysplasia-skin fragility syndrome,PKP1
613573,Ectodermal dysplasia-syndactyly syndrome 1,PVRL4
300301,"Ectodermal, dysplasia, anhidrotic, lymphedema and immunodeficiency",IKBKG
129600,"Ectopia lentis, familial",FBN1
225100,"Ectopia lentis, isolated, autosomal recessive",ADAMTSL4
604292,"Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3",TP63
606408,Ehlers–Danlos due to tenascin X deficiency,TNXB
225320,"Ehlers–Danlos syndrome, cardiac valvular form",COL1A2
130020,"Ehlers–Danlos syndrome, hypermobility type",TNXB
601776,"Ehlers-Danlos syndrome, musculocontractural type",CHST14
130070,"Ehlers–Danlos syndrome, progeroid form",B4GALT7
130000,"Ehlers–Danlos syndrome, type I",COL1A1
130000,"Ehlers–Danlos syndrome, type I",COL5A1
130000,"Ehlers–Danlos syndrome, type I",COL5A2
130010,"Ehlers–Danlos syndrome, type II",COL5A1
130020,"Ehlers–Danlos syndrome, type III",COL3A1
130050,"Ehlers–Danlos syndrome, type IV",COL3A1
225400,"Ehlers–Danlos syndrome, type VI",PLOD
130060,"Ehlers–Danlos syndrome, type VIIA",COL1A1
130060,"Ehlers–Danlos syndrome, type VIIB",COL1A2
225410,"Ehlers–Danlos syndrome, type VIIC",ADAMTS2
600002,Eiken syndrome,PTHR1
611804,Elliptocytosis-1,EPB41
130600,Elliptocytosis-2,SPTA1
225500,Ellis–van Creveld syndrome,EVC
225500,Ellis–van Creveld syndrome,LBN
612998,Emery–Dreifuss muscular dystrophy 4,SYNE1
612999,Emery–Dreifuss muscular dystrophy 5,SYNE2
300696,Emery–Dreifuss muscular dystrophy 6,FHL1
310300,Emery–Dreifuss muscular dystrophy,EMD
181350,"Emery–Dreifuss muscular dystrophy, AD",LMNA
181350,"Emery–Dreifuss muscular dystrophy, AR",LMNA
613490,Emphysema due to AAT deficiency,SERPINA1
613490,"Emphysema-cirrhosis, due to AAT deficiency",SERPINA1
604273,"Encephalocardiomyopathy, neonatal, mitochondrial, due to ATP synthase deficiency",TMEM70
604218,"Encephalopathy, familial, with neuroserpin inclusion bodies",SERPINI1
300673,"Encephalopathy, neonatal severe",MECP2
612651,Endocrine-cerebroosteodysplasia,ICK
608089,Endometrial cancer,MLH3
608089,"Endometrial cancer, familial",MSH6
603034,Endplate acetylcholinesterase deficiency,COLQ
268100,Enhanced S-cone syndrome,NR2E3
600791,Enlarged vestibular aqueduct,FOXI1
600791,Enlarged vestibular aqueduct,SLC26A4
226200,Enterokinase deficiency,PRSS7
261500,Eosinophil peroxidase deficiency,EPX
226400,Epidermodysplasia verruciformis,TMC6
226400,Epidermodysplasia verruciformis,TMC8
131750,"Epidermolysis bullosa dystrophica, AD",COL7A1
226600,"Epidermolysis bullosa dystrophica, AR",COL7A1
131800,Epidermolysis bullosa of hands and feet,ITGB4
604129,Epidermolysis bullosa pruriginosa,COL7A1
609352,Epidermolysis bullosa simplex with migratory circinate erythema,KRT5
131960,Epidermolysis bullosa simplex with mottled pigmentation,KRT5
612138,Epidermolysis bullosa simplex with pyloric atresia,PLEC1
131760,"Epidermolysis bullosa simplex, Dowling-Meara type",KRT14
131760,"Epidermolysis bullosa simplex, Dowling-Meara type",KRT5
131900,"Epidermolysis bullosa simplex, Koebner type",KRT14
131900,"Epidermolysis bullosa simplex, Koebner type",KRT5
131950,"Epidermolysis bullosa simplex, Ogna type",PLEC1
601001,"Epidermolysis bullosa simplex, recessive",KRT14
131800,"Epidermolysis bullosa simplex, Weber-Cockayne type",KRT14
131800,"Epidermolysis bullosa simplex, Weber-Cockayne type",KRT5
