OMIM ID,Disease,Symptoms from Wikipedia,HPO Codes
256730,"Ceroid lipofuscinosis, neuronal 1, infantile","The classic characterization of the group of neurodegenerative, lysosomal storage disorders called the neuronal ceroid lipofuscinoses (NCLs) is through the progressive, permanent loss of motor and psychological ability with a severe intracellular accumulation of lipofuscins, with the United States and northern European populations having slightly higher frequency with an occurrence of 1 in 10,000. There are four classic diagnoses that have received the most attention from researchers and the medical field, differentiated from one another by age of symptomatic onset, duration, early-onset manifestations such as blindness or seizures, and the forms which lipofuscin accumulation takes.In the early infantile variant of NCL (also called INCL or Santavuori-Haltia), probands appear normal at birth, but early visual loss leading to complete retinal blindness by the age of 2 years is the first indicator of the disease; by 3 years of age a vegetative state is reached and by 4 years isoelectric encephalograms confirm brain death. Late infantile variant usually manifests between 2 and 4 years of age with seizures and deterioration of vision. The maximum age before death for late infantile variant is 10–12 years. Juvenile NCL (JNCL, Batten disease, or Spielmeyer-Vogt), with a prevalence of 1 in 100,000, usually arises between 4 and 10 years of age; the first symptoms include considerable vision loss due to retinal dystrophy, with seizures, psychological degeneration, and eventual death in the mid- to late 20s or 30s ensuing. Adult variant NCL (ANCL or Kuf’s disease) is less understood and generally manifests milder symptoms; however, while symptoms typically appear around 30 years of age, death usually occurs ten years later.All the mutations that have been associated with this disease have been linked to genes involved with the neural synapses metabolism – most commonly with the reuse of vesicle proteins.","['HP:0000253', 'HP:0000529', 'HP:0000546', 'HP:0000550', 'HP:0000608', 'HP:0000618', 'HP:0000648', 'HP:0000654', 'HP:0000716', 'HP:0000737', 'HP:0000738', 'HP:0001249', 'HP:0001250', 'HP:0001251', 'HP:0001252', 'HP:0001257', 'HP:0001263', 'HP:0001290', 'HP:0001336', 'HP:0001371', 'HP:0001939', 'HP:0002059', 'HP:0002074', 'HP:0002353', 'HP:0002360', 'HP:0002361', 'HP:0002371', 'HP:0005484']"
204200,"Ceroid lipofuscinosis, neuronal 3, juvenile","The classic characterization of the group of neurodegenerative, lysosomal storage disorders called the neuronal ceroid lipofuscinoses (NCLs) is through the progressive, permanent loss of motor and psychological ability with a severe intracellular accumulation of lipofuscins, with the United States and northern European populations having slightly higher frequency with an occurrence of 1 in 10,000. There are four classic diagnoses that have received the most attention from researchers and the medical field, differentiated from one another by age of symptomatic onset, duration, early-onset manifestations such as blindness or seizures, and the forms which lipofuscin accumulation takes.In the early infantile variant of NCL (also called INCL or Santavuori-Haltia), probands appear normal at birth, but early visual loss leading to complete retinal blindness by the age of 2 years is the first indicator of the disease; by 3 years of age a vegetative state is reached and by 4 years isoelectric encephalograms confirm brain death. Late infantile variant usually manifests between 2 and 4 years of age with seizures and deterioration of vision. The maximum age before death for late infantile variant is 10–12 years. Juvenile NCL (JNCL, Batten disease, or Spielmeyer-Vogt), with a prevalence of 1 in 100,000, usually arises between 4 and 10 years of age; the first symptoms include considerable vision loss due to retinal dystrophy, with seizures, psychological degeneration, and eventual death in the mid- to late 20s or 30s ensuing. Adult variant NCL (ANCL or Kuf’s disease) is less understood and generally manifests milder symptoms; however, while symptoms typically appear around 30 years of age, death usually occurs ten years later.All the mutations that have been associated with this disease have been linked to genes involved with the neural synapses metabolism – most commonly with the reuse of vesicle proteins.","['HP:0000501', 'HP:0000510', 'HP:0000518', 'HP:0000529', 'HP:0000550', 'HP:0000608', 'HP:0000618', 'HP:0000648', 'HP:0000709', 'HP:0000726', 'HP:0000739', 'HP:0001249', 'HP:0001250', 'HP:0001260', 'HP:0001300', 'HP:0001317', 'HP:0001336', 'HP:0001922', 'HP:0002059', 'HP:0002071', 'HP:0002074', 'HP:0002361', 'HP:0002505', 'HP:0003205', 'HP:0003208', 'HP:0003463', 'HP:0005157']"
275630,Chanarin–Dorfman syndrome,"Main physical signs include a fatty liver, a weakened and enlarged heart (cardiomyopathy), inflammation of the pancreas (pancreatitis), reduced thyroid activity (hypothyroidism), type 2 diabetes, abnormal levels of creatine kinase in blood, and increased weakness of proximal muscles due to fatty replacement of skeletal muscle fibers. Accurate diagnosis is complicated by symptomatic overlap with other disorders. One of the earliest symptoms to manifest clinically is peripheral limb weakness, which becomes progressively more severe over time. Specifically, asymmetric right shoulder weakness is an idiosyncratic hallmark of NLSD enabling it to be distinguished from myopathies arising from alternative muscular disorders. 
NLSD is often diagnosed by the presence of lipid inclusions within leukocytes (Jordan’ Anomaly), which can be detected using histochemical and electron microscopy. Image B shows the characteristic lipid accumulation in red blood cells, in a NLSD patient, as compared to a normal individual (Image A).
Classically, NLSD is associated with myopathy and can, in some cases, be linked with icthyosis. Therefore, with these symptoms or diagnosis, it is likely that the patient could and would be diagnosed with NLSD.
Although lipid accumulation is most prominent in  myocytes, hepatocytes, and granulocytes, other tissues displayed elevated deposits as well. For the purpose of diagnosis, MRIs have been used to identify large fat deposits within muscle tissue. 
People can live with NLSD, but there can be complications due to the affects this disease has on other major parts of the body like the liver, the heart, and skeletal muscle. Whereas myopathy won’t necessarily show up until a patient is in the third decade of their life, a child born with ichthyosis, is immediately evaluated for NLSD, in which it is detected very early on. Also, the earlier that NLSD can be detected and symptoms treated, the better quality of life the patient can have.","['HP:0000232', 'HP:0000385', 'HP:0000407', 'HP:0000486', 'HP:0000508', 'HP:0000523', 'HP:0000639', 'HP:0000656', 'HP:0001006', 'HP:0001249', 'HP:0001251', 'HP:0001263', 'HP:0001284', 'HP:0001324', 'HP:0001397', 'HP:0001413', 'HP:0001513', 'HP:0001596', 'HP:0001638', 'HP:0001871', 'HP:0001911', 'HP:0001946', 'HP:0002155', 'HP:0002240', 'HP:0002355', 'HP:0002910', 'HP:0002922', 'HP:0003198', 'HP:0003458', 'HP:0003547', 'HP:0004322', 'HP:0007009', 'HP:0007479', 'HP:0008551', 'HP:0009073', 'HP:0012240', 'HP:0012472', 'HP:0040081']"
169100,Char syndrome,,"['HP:0000207', 'HP:0000232', 'HP:0000269', 'HP:0000272', 'HP:0000316', 'HP:0000322', 'HP:0000337', 'HP:0000365', 'HP:0000369', 'HP:0000411', 'HP:0000455', 'HP:0000457', 'HP:0000486', 'HP:0000494', 'HP:0000508', 'HP:0000545', 'HP:0000574', 'HP:0001161', 'HP:0001256', 'HP:0001263', 'HP:0001629', 'HP:0001643', 'HP:0001770', 'HP:0002360', 'HP:0002553', 'HP:0002558', 'HP:0004209', 'HP:0004218', 'HP:0004220', 'HP:0005280', 'HP:0006159', 'HP:0006335', 'HP:0008498', 'HP:0009244', 'HP:0010112', 'HP:0012471', 'HP:0025234']"
145900,Charcot–Marie–Tooth disease type 4F,,"['HP:0000639', 'HP:0001171', 'HP:0001178', 'HP:0001252', 'HP:0001265', 'HP:0001270', 'HP:0001284', 'HP:0001290', 'HP:0001761', 'HP:0001765', 'HP:0002460', 'HP:0002751', 'HP:0002922', 'HP:0002936', 'HP:0003376', 'HP:0003380', 'HP:0003382', 'HP:0003383', 'HP:0003431', 'HP:0003481', 'HP:0003693', 'HP:0009027', 'HP:0010871']"
214800,CHARGE syndrome,,"['HP:0000008', 'HP:0000028', 'HP:0000044', 'HP:0000048', 'HP:0000050', 'HP:0000054', 'HP:0000066', 'HP:0000076', 'HP:0000085', 'HP:0000089', 'HP:0000104', 'HP:0000126', 'HP:0000160', 'HP:0000175', 'HP:0000204', 'HP:0000252', 'HP:0000272', 'HP:0000275', 'HP:0000286', 'HP:0000315', 'HP:0000316', 'HP:0000321', 'HP:0000324', 'HP:0000347', 'HP:0000359', 'HP:0000365', 'HP:0000368', 'HP:0000378', 'HP:0000384', 'HP:0000394', 'HP:0000396', 'HP:0000410', 'HP:0000453', 'HP:0000458', 'HP:0000465', 'HP:0000478', 'HP:0000480', 'HP:0000486', 'HP:0000494', 'HP:0000504', 'HP:0000508', 'HP:0000528', 'HP:0000567', 'HP:0000568', 'HP:0000589', 'HP:0000612', 'HP:0000625', 'HP:0000632', 'HP:0000639', 'HP:0000648', 'HP:0000684', 'HP:0000717', 'HP:0000722', 'HP:0000772', 'HP:0000821', 'HP:0000823', 'HP:0000824', 'HP:0000830', 'HP:0000834', 'HP:0000860', 'HP:0001018', 'HP:0001156', 'HP:0001161', 'HP:0001249', 'HP:0001252', 'HP:0001263', 'HP:0001291', 'HP:0001305', 'HP:0001360', 'HP:0001508', 'HP:0001511', 'HP:0001537', 'HP:0001539', 'HP:0001561', 'HP:0001601', 'HP:0001629', 'HP:0001631', 'HP:0001636', 'HP:0001642', 'HP:0001643', 'HP:0001646', 'HP:0001671', 'HP:0001719', 'HP:0001762', 'HP:0001883', 'HP:0001888', 'HP:0002015', 'HP:0002020', 'HP:0002023', 'HP:0002025', 'HP:0002032', 'HP:0002093', 'HP:0002139', 'HP:0002247', 'HP:0002410', 'HP:0002553', 'HP:0002575', 'HP:0002650', 'HP:0002901', 'HP:0002937', 'HP:0002992', 'HP:0003022', 'HP:0003974', 'HP:0004058', 'HP:0004209', 'HP:0004322', 'HP:0004348', 'HP:0004496', 'HP:0005113', 'HP:0005280', 'HP:0006824', 'HP:0007018', 'HP:0007360', 'HP:0008213', 'HP:0008551', 'HP:0008572', 'HP:0008872', 'HP:0008897', 'HP:0009778', 'HP:0009906', 'HP:0010443', 'HP:0010515', 'HP:0010628', 'HP:0010669', 'HP:0010751', 'HP:0010978', 'HP:0011382', 'HP:0011611', 'HP:0011968', 'HP:0030680', 'HP:0100736', 'HP:0200021']"
214500,Chédiak–Higashi syndrome,"People with CHS have light skin and silvery hair (albinism) and frequently complain of solar sensitivity and photophobia. Other signs and symptoms vary considerably, but frequent infections and neuropathy are common. The infections involve mucous membranes, skin, and the respiratory tract. Affected children are susceptible to infection by Gram-positive and gram-negative bacteria and fungi, with Staphylococcus aureus being the most common infectious cause. Infections in CHS patients tend to be very serious and even life-threatening. Neuropathy often begins in the teenage years and becomes the most prominent problem. Few patients with this condition live to adulthood.
Most children with Chédiak–Higashi syndrome ultimately reach a stage known as the ""accelerated phase"", or the ""lymphoma-like syndrome"", in which defective white blood cells divide uncontrollably and invade many of the body's organs. The accelerated phase is associated with fever, episodes of abnormal bleeding, overwhelming infections, and organ failure. These medical problems are usually life-threatening in childhood.","['HP:0000225', 'HP:0000230', 'HP:0000315', 'HP:0000421', 'HP:0000478', 'HP:0000486', 'HP:0000504', 'HP:0000505', 'HP:0000613', 'HP:0000639', 'HP:0000646', 'HP:0000704', 'HP:0000762', 'HP:0000952', 'HP:0000969', 'HP:0000978', 'HP:0000995', 'HP:0001010', 'HP:0001104', 'HP:0001249', 'HP:0001250', 'HP:0001251', 'HP:0001263', 'HP:0001265', 'HP:0001272', 'HP:0001284', 'HP:0001288', 'HP:0001324', 'HP:0001337', 'HP:0001631', 'HP:0001744', 'HP:0001873', 'HP:0001875', 'HP:0001881', 'HP:0001882', 'HP:0001903', 'HP:0001945', 'HP:0002063', 'HP:0002067', 'HP:0002071', 'HP:0002180', 'HP:0002205', 'HP:0002239', 'HP:0002240', 'HP:0002376', 'HP:0002665', 'HP:0002716', 'HP:0002721', 'HP:0003401', 'HP:0005406', 'HP:0005429', 'HP:0005592', 'HP:0005599', 'HP:0006824', 'HP:0007133', 'HP:0007440', 'HP:0007513', 'HP:0007663', 'HP:0007730', 'HP:0009027', 'HP:0009830', 'HP:0011358', 'HP:0011364', 'HP:0012145', 'HP:0100022', 'HP:0100838', 'HP:0200042']"
118400,Cherubism,"The appearance of people with the disorder is caused by a loss of bone in the mandible which the body replaces with excessive amounts of fibrous tissue. In most cases, the condition fades as the child grows, but in rare cases the condition continues to deform the affected person's face. Cherubism also causes premature loss of the primary teeth and lack of eruption of the permanent teeth.
Cherubism is a rare autosomal dominant disease of the maxilla and mandible. Approximately 200 cases have been reported by medical journals with the majority being males. Cherubism is usually first diagnosed around age 7 and continues through puberty and may or may not continue to advance with age. Degrees of cherubism vary from mild to severe. Osteoclastic and osteoblastic remodeling contributes to the change of normal bone to fibrous tissue and cyst formation. As noted by the name, the patient's face becomes enlarged and disproportionate due to the fibrous tissue and atypical bone formation. The sponge-like bone formations lead to early tooth loss and permanent tooth eruption problems. The condition also affects the orbital area, creating an upturned eye appearance. The cause of cherubism is believed to be traced to a genetic defect resulting from a mutation of the SH3BP2 gene from chromosome 4p16.3. While the condition is rare and painless, the afflicted suffer the emotional trauma of disfigurement. The effects of cherubism may also interfere with normal jaw motion and speech. Currently, removal of the tissue and bone by surgery is the only treatment available. This condition is also one of the few that unexpectedly stops and regresses. Normal bone remodeling activity may resume after puberty.
Cherubism is displayed with genetic conformation and when excessive osteoclasts are found in the affected areas of the mandible and maxilla. Large cysts will be present with excessive fibrous areas inside the bone. The fibers and cysts will be found among the trabecula of the Coronoid process, the ramus of mandible, the body of mandible and the maxilla regions. The maxilla will be affected up to and including the orbits and sometimes inside the lower orbits. The maxilla and zygomatic bones are depressed and eyes appear to gaze upward.   The maxilla has been found to be more severely affected in most cases than the mandible bone. Some patients found with lower inner orbital growths and cysts may lose vision.","['HP:0000164', 'HP:0000277', 'HP:0000293', 'HP:0000311', 'HP:0000505', 'HP:0000520', 'HP:0000529', 'HP:0000648', 'HP:0000677', 'HP:0001065', 'HP:0001133', 'HP:0001138', 'HP:0001608', 'HP:0002781', 'HP:0002870', 'HP:0006482', 'HP:0007663', 'HP:0008872', 'HP:0012062', 'HP:0012802', 'HP:0030802', 'HP:0200056', 'HP:0200057']"
308050,CHILD syndrome,"The acronym CHILD stands for the symptoms of the syndrome:

CH = Congenital Hemidysplasia—One side of the body, most of the time the right side, is poorly developed. The right ribs, neck, vertebrae, etc. may be underdeveloped and the internal organs may be affected.
I - Ichthyosiform Erythroderma—At birth or shortly after birth, there are red, inflamed patches (erythroderma), and flaky scales (ichthyosis) on the side of the body that is affected. Hair loss on the same side may also be possible.
LD - limb defects—Fingers on the hand or toes on the foot of the affected side may be missing. An arm or leg may also be shortened or even missing.","['HP:0000104', 'HP:0000126', 'HP:0000204', 'HP:0000347', 'HP:0000365', 'HP:0000773', 'HP:0000835', 'HP:0000882', 'HP:0000894', 'HP:0000962', 'HP:0001006', 'HP:0001036', 'HP:0001256', 'HP:0001371', 'HP:0001374', 'HP:0001537', 'HP:0001596', 'HP:0001597', 'HP:0001671', 'HP:0001750', 'HP:0002089', 'HP:0002650', 'HP:0002977', 'HP:0003462', 'HP:0003465', 'HP:0004322', 'HP:0005990', 'HP:0007431', 'HP:0008417', 'HP:0008678', 'HP:0008839', 'HP:0008883', 'HP:0009815', 'HP:0010655', 'HP:0010783', 'HP:0030680']"
211600,"Cholestasis, progressive familial intrahepatic 1","The onset of the disease is usually before age 2, but patients have been diagnosed with PFIC even into adolescence.  Of the three entities, PFIC-1 usually presents earliest.  Patients usually present in early childhood with cholestasis, jaundice, and failure to thrive.  Intense pruritus is characteristic; in patients who present in adolescence, it has been linked with suicide.  Patients may have fat malabsorption, leading to fat soluble vitamin deficiency, and complications, including osteopenia.","['HP:0000952', 'HP:0000989', 'HP:0001394', 'HP:0001508', 'HP:0001744', 'HP:0002014', 'HP:0002240', 'HP:0002630', 'HP:0002908', 'HP:0003510', 'HP:0006575']"
601847,"Cholestasis, progressive familial intrahepatic 2","The onset of the disease is usually before age 2, but patients have been diagnosed with PFIC even into adolescence.  Of the three entities, PFIC-1 usually presents earliest.  Patients usually present in early childhood with cholestasis, jaundice, and failure to thrive.  Intense pruritus is characteristic; in patients who present in adolescence, it has been linked with suicide.  Patients may have fat malabsorption, leading to fat soluble vitamin deficiency, and complications, including osteopenia.","['HP:0000989', 'HP:0001046', 'HP:0001394', 'HP:0001402', 'HP:0001406', 'HP:0001508', 'HP:0001744', 'HP:0002014', 'HP:0002240', 'HP:0002630', 'HP:0002908', 'HP:0003155', 'HP:0004322']"
602347,"Cholestasis, progressive familial intrahepatic 3","The onset of the disease is usually before age 2, but patients have been diagnosed with PFIC even into adolescence.  Of the three entities, PFIC-1 usually presents earliest.  Patients usually present in early childhood with cholestasis, jaundice, and failure to thrive.  Intense pruritus is characteristic; in patients who present in adolescence, it has been linked with suicide.  Patients may have fat malabsorption, leading to fat soluble vitamin deficiency, and complications, including osteopenia.","['HP:0000952', 'HP:0000989', 'HP:0001394', 'HP:0001406', 'HP:0001408', 'HP:0001744', 'HP:0002014', 'HP:0002024', 'HP:0002240', 'HP:0002910', 'HP:0006580']"
278000,Cholesteryl ester storage disease,"Infants may present with feeding difficulties with frequent vomiting, diarrhea, swelling of the abdomen, and failure to gain weight or sometimes weight loss.As the disease progresses in infants, increasing fat accumulation in the liver leads to other complications including yellowing of the skin and whites of the eyes (jaundice), and a persistent low-grade fever. An ultrasound examination shows accumulation of chalky material (calcification) in the adrenal gland in about half of infants with LAL-D. Complications of LAL-D progress over time, eventually leading to life-threatening problems such as extremely low levels of circulating red blood cells (severe anemia), liver dysfunction or failure, and physical wasting (cachexia).People who are older children or adults generally present with a wide range of signs and symptoms that overlap with other disorders. They may have diarrhoea, stomach pain, vomiting, or poor growth, a sign of malabsorption. They may have signs of bile duct problems, like itchiness, jaundice, pale stool, or dark urine. Their feces may be excessively greasy. They often have an enlarged liver, liver disease, and may have yellowish deposits of fat underneath the skin, usually around their eyelids. The disease is often undiagnosed in adults. The person may have a history of premature cardiac disease or premature stroke.","['HP:0000127', 'HP:0000952', 'HP:0000989', 'HP:0000991', 'HP:0001114', 'HP:0001263', 'HP:0001297', 'HP:0001394', 'HP:0001395', 'HP:0001397', 'HP:0001399', 'HP:0001410', 'HP:0001414', 'HP:0001433', 'HP:0001508', 'HP:0001538', 'HP:0001541', 'HP:0001677', 'HP:0001744', 'HP:0001824', 'HP:0001903', 'HP:0001922', 'HP:0001941', 'HP:0001944', 'HP:0001971', 'HP:0002013', 'HP:0002014', 'HP:0002017', 'HP:0002027', 'HP:0002040', 'HP:0002092', 'HP:0002153', 'HP:0002155', 'HP:0002240', 'HP:0002361', 'HP:0002570', 'HP:0002615', 'HP:0002902', 'HP:0002910', 'HP:0003124', 'HP:0003155', 'HP:0003270', 'HP:0004326', 'HP:0004333', 'HP:0004395', 'HP:0004416', 'HP:0006583', 'HP:0008207', 'HP:0010512', 'HP:0011106', 'HP:0011968', 'HP:0012598', 'HP:0012605', 'HP:0100543']"
215300,Chondrosarcoma,"Back or thigh pain
Sciatica
Bladder Symptoms
Unilateral edema","['HP:0000924', 'HP:0006765']"
200150,Choreoacanthocytosis,"There are multiple symptoms that can help this disease to be diagnosed, this disease is marked by the presence of acanthocytes in blood (these acanthocytes can sometimes be absent or even make a late appearance in the course of the disease.)  and neurodegeneration causing a choreiform movement disorder.Another one of them would be that this disease should be considered in patients who have elevated levels of acanthocytes in a peripheral blood film.
The serum creatine kinase is often elevated in the body of the people who are affected by this disease.People afflicted by this disease also experience a loss of neurons. Loss of neurons is a hallmark of neurodegenerative diseases. Due to the generally non-regenerative nature of neuronal cells in the adult central nervous system, this results in an irreversible and fatal process of neurodegeneration. There is also the presence of several movement related disorders including chorea, dystonia and bradykinesia, one of the more incapacitating ones includes Truncal spasms.","['HP:0000183', 'HP:0000315', 'HP:0000478', 'HP:0000496', 'HP:0000504', 'HP:0000518', 'HP:0000639', 'HP:0000708', 'HP:0000709', 'HP:0000718', 'HP:0000726', 'HP:0000734', 'HP:0000739', 'HP:0000751', 'HP:0000763', 'HP:0000820', 'HP:0000980', 'HP:0001250', 'HP:0001251', 'HP:0001252', 'HP:0001260', 'HP:0001265', 'HP:0001284', 'HP:0001288', 'HP:0001300', 'HP:0001324', 'HP:0001332', 'HP:0001337', 'HP:0001541', 'HP:0001575', 'HP:0001639', 'HP:0001744', 'HP:0001760', 'HP:0001761', 'HP:0001824', 'HP:0001877', 'HP:0001892', 'HP:0001927', 'HP:0002015', 'HP:0002017', 'HP:0002024', 'HP:0002027', 'HP:0002072', 'HP:0002119', 'HP:0002120', 'HP:0002167', 'HP:0002205', 'HP:0002240', 'HP:0002307', 'HP:0002310', 'HP:0002340', 'HP:0002354', 'HP:0002360', 'HP:0002376', 'HP:0002633', 'HP:0002716', 'HP:0002910', 'HP:0003110', 'HP:0003198', 'HP:0003202', 'HP:0003236', 'HP:0003457', 'HP:0003690', 'HP:0004322', 'HP:0006554', 'HP:0007018', 'HP:0007326', 'HP:0008767', 'HP:0008955', 'HP:0008959', 'HP:0009830', 'HP:0010526', 'HP:0010808', 'HP:0011968', 'HP:0012086', 'HP:0012378', 'HP:0100022', 'HP:0100033', 'HP:0100295', 'HP:0100660', 'HP:0100716']"
260500,Choroid plexus papilloma,"Signs of the tumor resulting from increased intracranial pressure are present in 91% of patients, with vomiting, homonymous visual field defects and headache being the most common symptoms.
Other symptoms are ear ringing and dizziness.","['HP:0000238', 'HP:0000505', 'HP:0001085', 'HP:0001250', 'HP:0001257', 'HP:0001276', 'HP:0002013', 'HP:0002018', 'HP:0002315', 'HP:0002664', 'HP:0004374', 'HP:0012639', 'HP:0012740', 'HP:0100543', 'HP:0200022']"
303100,Choroideremia,,"['HP:0000315', 'HP:0000478', 'HP:0000504', 'HP:0000505', 'HP:0000512', 'HP:0000529', 'HP:0000533', 'HP:0000545', 'HP:0000662', 'HP:0001133', 'HP:0001139', 'HP:0007703', 'HP:0200065']"
246700,Chylomicron retention disease,"Physical symptoms of CMRD involving development and function of the gastrointestinal tract and nervous system typically manifest  between  infancy and adolescence. The symptoms of CmRD are similar to the physical symptoms  of malnutrition, as the disease arises due to the poor absorption of lipids and fat-soluble nutrients such as vitamin E. For this reason, the disease is likely to be under-diagnosed by physicians . Fat-soluble nutrients are essential for growth, development, and normal bodily function. Vitamin E deficiency is especially serious , as the vitamin is necessary for proper neurological function and development. Without Vitamin E, neurons cannot operate correctly and signals from the brain are weakened. This leads to reduced muscle development and reduced muscle contraction.
Symptoms that manifest in the GI tract are likely to be a consequence of both reduced absorption of fats and physiological stress imposed on enterocytes that can not shuttle fats into circulation . Additional symptoms that occur throughout the body can be attributed to the lack of sufficient lipid sources.
Chronic Malabsorptive Diarrhea- Diarrhea that results from the poor absorption of fats
Steatorrhea- Abnormal stools, often foul smelling, due to the increased presence of undigested fats
Vomiting
Vitamin E Deficiency- Low levels of Vitamin E due to the malabsorption of fats in the diet, causes poor brain, muscle, and eye development.
Cardiomyopathy- A class of disease that affects heart muscle, causing shortness of breath, tiredness, and swelling of the legs
Slowed Growth
Failure to Thrive- Insufficient weight gain, or drastic levels of weight loss in children
Hypercholesterolemia- Low blood cholesterol levels
Hepatic Steatosis (Fatty Liver)- Excessive fat buildup in the liver, a result of the abnormal lipid panels of CMRD patients
Hyporeflexia- Absent or low levels of muscle reflexes
Amyotrophy- Muscle tissue “wasting,” the loss of muscle tissue","['HP:0000488', 'HP:0000505', 'HP:0001249', 'HP:0001284', 'HP:0001315', 'HP:0001397', 'HP:0001508', 'HP:0001510', 'HP:0001927', 'HP:0002013', 'HP:0002014', 'HP:0002155', 'HP:0002495', 'HP:0002570', 'HP:0002630', 'HP:0002910', 'HP:0003073', 'HP:0003146', 'HP:0003198', 'HP:0003270', 'HP:0003458', 'HP:0003563', 'HP:0004395', 'HP:0006565', 'HP:0010831', 'HP:0012153', 'HP:0100508']"
215700,Citrullinemia,,"['HP:0000473', 'HP:0000575', 'HP:0000707', 'HP:0000737', 'HP:0001249', 'HP:0001250', 'HP:0001251', 'HP:0001252', 'HP:0001254', 'HP:0001256', 'HP:0001257', 'HP:0001259', 'HP:0001263', 'HP:0001297', 'HP:0001350', 'HP:0001394', 'HP:0001399', 'HP:0001508', 'HP:0001950', 'HP:0001951', 'HP:0001987', 'HP:0002013', 'HP:0002020', 'HP:0002038', 'HP:0002076', 'HP:0002181', 'HP:0002240', 'HP:0002315', 'HP:0002342', 'HP:0002480', 'HP:0002516', 'HP:0002789', 'HP:0003217', 'HP:0003218', 'HP:0005961', 'HP:0006889', 'HP:0007185', 'HP:0011448', 'HP:0011966', 'HP:0011968']"
119600,Cleidocranial dysplasia,"Cleidocranial dysostosis is a general skeletal condition so named from the collarbone (cleido-) and cranium deformities which people with it often have.
People with the condition usually present with a painless swelling in the area of the clavicles at 2–3 years of age. Common features are:

Clavicles (collarbones) can be partly missing leaving only the medial part of the bone. In 10% of cases, they are completely missing. If the collarbones are completely missing or reduced to small vestiges, this allows hypermobility of the shoulders including ability to touch the shoulders together in front of the chest. The defect is bilateral 80% of the time. Partial collarbones may cause nerve damage symptoms and therefore have to be removed by surgery.
The mandible is prognathic due to hypoplasia of maxilla (micrognathism) and other facial bones.
A soft spot or larger soft area in the top of the head where the fontanelle failed to close, or the fontanelle closes late.
Bones and joints are underdeveloped. People are shorter and their frames are smaller than their siblings who do not have the condition.
The permanent teeth include supernumerary teeth. Unless these supernumeraries are removed they will crowd the adult teeth in what already may be an underdeveloped jaw. If so, the supernumeraries will probably need to be removed to make space for the adult teeth. Up to 13 supernumerary teeth have been observed. Teeth may also be displaced. Cementum formation may be deficient.
Failure of eruption of permanent teeth.
Bossing (bulging) of the forehead.
Open skull sutures, large fontanelles.
Hypertelorism.
Delayed ossification of bones forming symphysis pubis, producing a widened symphysis.
Coxa vara can occur, limiting abduction and causing Trendelenburg gait.
Short middle fifth phalanges, sometimes causing short and wide fingers.
Vertebral abnormalities.
On rare occasions, brachial plexus irritation can occur.
Scoliosis, spina bifida and syringomyelia have also been described.Other features are: parietal  bossing, basilar invagination (atlantoaxial impaction), persistent metopic suture, abnormal  ear structures with hearing loss, supernumerary ribs, hemivertebrae with spondylosis,  small and high scapulae, hypoplasia of illiac bones, absence of the pubic bone, short / absent fibular bones, short / absent  radial bones, hypoplastic terminal phalanges.","['HP:0000162', 'HP:0000164', 'HP:0000175', 'HP:0000189', 'HP:0000218', 'HP:0000239', 'HP:0000242', 'HP:0000246', 'HP:0000248', 'HP:0000256', 'HP:0000272', 'HP:0000303', 'HP:0000316', 'HP:0000337', 'HP:0000340', 'HP:0000347', 'HP:0000364', 'HP:0000365', 'HP:0000389', 'HP:0000670', 'HP:0000680', 'HP:0000682', 'HP:0000684', 'HP:0000696', 'HP:0000772', 'HP:0000773', 'HP:0000774', 'HP:0000882', 'HP:0000891', 'HP:0000894', 'HP:0000939', 'HP:0001156', 'HP:0001163', 'HP:0001172', 'HP:0001182', 'HP:0001810', 'HP:0002007', 'HP:0002098', 'HP:0002205', 'HP:0002643', 'HP:0002644', 'HP:0002645', 'HP:0002650', 'HP:0002652', 'HP:0002659', 'HP:0002684', 'HP:0002688', 'HP:0002689', 'HP:0002700', 'HP:0002705', 'HP:0002738', 'HP:0002757', 'HP:0002808', 'HP:0002812', 'HP:0002857', 'HP:0002866', 'HP:0003183', 'HP:0003298', 'HP:0003302', 'HP:0003304', 'HP:0003396', 'HP:0004209', 'HP:0004220', 'HP:0004322', 'HP:0004331', 'HP:0004474', 'HP:0005107', 'HP:0005259', 'HP:0005280', 'HP:0005930', 'HP:0006040', 'HP:0006297', 'HP:0006660', 'HP:0008391', 'HP:0008788', 'HP:0008821', 'HP:0008848', 'HP:0009577', 'HP:0010230', 'HP:0010535', 'HP:0010669', 'HP:0010751', 'HP:0010807', 'HP:0011001', 'HP:0011069', 'HP:0011219', 'HP:0011800', 'HP:0100864', 'HP:0200021']"
