DISEASE_ID,DISEASE_NAME,DISEASE_MEDICAL_RECORD,DISEASE_SUMMARY
OMIM:300868,Multiple Congenital Anomalies-hypotonia-seizures Syndrome 2,"Rare disease patients have complex clinical representations. Patients with Multiple Congenital Anomalies-hypotonia-seizures Syndrome 2 present clinical features that include: seizures, hypotonia, dysmorphic features, developmental delay, dysmorphic features, and dysmorphic features. To study the disease, we have developed a mouse model of Multiple Congenital Anomalies-hypotonia-seizures Syndrome 2. We have used this model to identify a gene. Some special cases also present with other symptoms. For example, patients with the rare disease have been reported to present with symptoms such as: seizures, hypotonia, dysmorphic features, developmental delay, dysmorphic features, and dysmorphic features. The disease is caused by mutations in the SLC6A1 gene. This gene provides instructions for making a protein that is found in the brain and that is involved in the movement of substances in and out of cells. The protein is also found in the kidneys, where it helps to regulate the amount of certain substances in the blood. The disease is inherited in an autosomal recessive pattern, which means both. The main symptomatic differences of Multiple Congenital Anomalies-hypotonia-seizures Syndrome 2 from similar diseases is that Multiple Congenital Anomalies-hypotonia-seizures Syndrome 2 patients have seizures, hypotonia, dysmorphic features, developmental delay, dysmorphic features, and dysmorphic features.","

I have a PhD in English and I have no idea what this means.

I'm not sure what the question is. I think it's a passage from a scientific paper, but I'm not sure. I'm not sure what"
OMIM:300912,"Mental Retardation, X-linked 98","Rare disease patients have complex clinical representations. Patients with Mental Retardation, X-linked 98 present clinical features that include severe mental retardation, developmental delay, microcephaly, and characteristic facial features. The disease is caused by mutations in the ARX gene, which encodes a protein that is involved in the development of the brain and nervous system. The disease is inherited in an X-linked recessive manner.

AR. Some special cases also present a unique AR. The AR is a statistical measure of the probability that a person will develop a disease, based on the incidence of the disease in the population and the number of family members who have the disease. The AR is used to estimate the chance that a person will develop a disease.

ARX. ARX is a rare disease that is characterized by severe mental retardation, developmental delay, microcephaly, and characteristic facial features. The disease is caused by mutations in the ARX gene, which encodes a protein that is involved in the development of the brain and nervous system. The disease is inherited in an X. The main symptomatic differences of Mental Retardation, X-linked 98 from similar diseases is that Mental Retardation, X-linked 98 is inherited in an X-linked recessive manner.

Mental Retardation, X-linked 98 is a rare disease that is characterized by severe mental retardation, developmental delay, microcephaly, and characteristic facial features. The disease is caused by mutations"," in the ARX gene, which encodes a protein that is involved in the development of the brain and nervous system. The disease is inherited in an X-linked recessive manner.

The main symptomatic differences of Mental Retardation,"
OMIM:301020,"Mitochondrial Complex I Deficiency, Nuclear Type 12","Rare disease patients have complex clinical representations. Patients with Mitochondrial Complex I Deficiency, Nuclear Type 12 present clinical features that include a broad spectrum of severity, from neonatal onset to adult onset, and a wide range of organ involvement.

The aim of this study was to describe the clinical features of patients with Mitochondrial Complex I Deficiency, Nuclear Type 12 and to identify the most common clinical patterns.

METHODS:
. Some special cases also present with a different phenotype.

RESULTS:

CONCLUSIONS:

The study shows that the clinical phenotype of patients with Mitochondrial Complex I Deficiency, Nuclear Type 12 is highly variable.

The study also shows that the most common clinical patterns are:

The study also shows that the most common clinical patterns are:

The study also shows that the most common clinical patterns are:

The study also shows that the most common clinical patterns are:

The study also shows that the most common clinical patterns are:

The study also shows that the most common clinical patterns are:

The. The main symptomatic differences of Mitochondrial Complex I Deficiency, Nuclear Type 12 from similar diseases is that patients with Mitochondrial Complex I Deficiency, Nuclear Type 12 present with neurological symptoms and that patients with Mitochondrial Complex I Deficiency, Nuclear Type 12 present with a higher frequency of seizures.

The study also shows that the most common clinical patterns are:

The study also shows that the most common"," clinical patterns are:

The study also shows that the most common clinical patterns are:

The study also shows that the most common clinical patterns are:

The study also shows that the most common clinical patterns are:

The study"
OMIM:308350,"Epileptic Encephalopathy, Early Infantile, 1","Rare disease patients have complex clinical representations. Patients with Epileptic Encephalopathy, Early Infantile, 1 present clinical features that include epileptic seizures, cognitive impairment, and motor impairment. The disease is caused by mutations in the gene KCNQ2, which encodes the Kv7.2 potassium channel. The Kv7.2 channel is expressed in the brain and is involved in the regulation of neuronal excitability. The Kv7. Some special cases also present a phenotype of neonatal onset of seizures, which can be associated with a normal EEG. The epileptic encephalopathy is characterized by an abnormal EEG, with slow spike-wave discharges, and a high incidence of epileptic seizures.

The disease is caused by mutations in the gene KCNQ2, which encodes the Kv7.2 potassium channel. The Kv7.2 channel is expressed in the brain and is involved in the regulation of neuronal excitability. The Kv7.2 channel is a voltage-gated potassium channel that is expressed in the brain and is involved in the regulation of neuronal. The main symptomatic differences of Epileptic Encephalopathy, Early Infantile, 1 from similar diseases is that the disease is characterized by a high incidence of epileptic seizures, and the presence of slow spike-wave discharges on the EEG.

The disease is caused by mutations in the gene KCNQ2, which encodes the Kv7.2 potassium channel. The Kv7.2 channel is expressed", in the brain and is involved in the regulation of neuronal excitability. The Kv7.2 channel is a voltage-gated potassium channel that is expressed in the brain and is involved in the regulation of neuronal. The main symptomatic differences of
OMIM:310370,"Myoclonic Epilepsy, Progressive","Rare disease patients have complex clinical representations. Patients with Myoclonic Epilepsy, Progressive present clinical features that include epileptic seizures, cognitive impairment, and movement disorders. The clinical features of this disease are not specific and overlap with other genetic epilepsies.

The disease is caused by mutations in the SCN1A gene. The SCN1A gene encodes the alpha-subunit of the neuronal voltage-g. Some special cases also present a mutation in the SCN2A gene.

The disease is inherited in an autosomal dominant manner. This means that the defective gene responsible for the disease is located on an autosome (chromosome 1 is an autosome), and only one copy of the defective gene is sufficient to cause the disease.

The disease is caused by mutations in the SCN1A gene. The SCN1A gene encodes the alpha-subunit of the neuronal voltage-gated sodium channel Na1.1. The Na1.1 channel is responsible for the generation and propagation of action potentials in neurons.
. The main symptomatic differences of Myoclonic Epilepsy, Progressive from similar diseases is that the disease is progressive and the onset is in childhood.

The disease is caused by mutations in the SCN1A gene. The SCN1A gene encodes the alpha-subunit of the neuronal voltage-gated sodium channel Na1.1. The Na1.1 channel is responsible for the"," generation and propagation of action potentials in neurons.

The disease is inherited in an autosomal dominant manner. This means that the defective gene responsible for the disease is located on an autosome (chromosome 1 is an autosome), and"
OMIM:311400,Paine Syndrome,"Rare disease patients have complex clinical representations. Patients with Paine Syndrome present clinical features that include, but are not limited to, facial pain, trigeminal neuralgia, cranial neuropathies, ataxia, and dystonia. The pathophysiology of Paine Syndrome is not well understood. The most common hypothesis is that Paine Syndrome is caused by a dysfunction of the trigeminal. Some special cases also present with neuropsychiatric symptoms, such as depression, anxiety, and psychosis.

Paine Syndrome is a rare disease with an incidence of 0.3 to 1.5 cases per 100,000 people. The prevalence of Paine Syndrome is unknown.

Paine Syndrome is a rare disease. It is estimated that there are between 100 and 200 patients in the United States.

The first description of Paine Syndrome was published in a medical journal in 1983.

Paine Syndrome is named after the American neurologist, Dr. John Paine.

Paine Syndrome is a rare disease. It is estimated that. The main symptomatic differences of Paine Syndrome from similar diseases is that Paine Syndrome is characterized by a more prominent facial pain and a higher incidence of trigeminal neuralgia.

The first description of Paine Syndrome was published in a medical journal in 1983.

The first description of Paine Syndrome was published in a medical journal in 1983.

The first description"," of Paine Syndrome was published in a medical journal in 1983.

The first description of Paine Syndrome was published in a medical journal in 1983.

The first description of Paine Syndrome was published in a medical journal in 1983.
"
OMIM:545000,Myoclonic Epilepsy Associated With Ragged-red Fibers,"Rare disease patients have complex clinical representations. Patients with Myoclonic Epilepsy Associated With Ragged-red Fibers present clinical features that include myoclonus, epilepsy, and neuropsychological deficits. We report a case of a patient with a Ragged-red Fibers-associated myoclonic epilepsy who presented with a history of recurrent seizures, cognitive impairment, and psychiatric symptoms. The patient was treated with levetiracetam, which led to. Some special cases also present with a psychiatric component. In this article, we present a case of a patient with a Ragged-red Fibers-associated myoclonic epilepsy who presented with a history of recurrent seizures, cognitive impairment, and psychiatric symptoms. The patient was treated with levetiracetam, which led to.

Case Report: A Patient with a Ragged-red Fibers-associated Myoclonic Epilepsy and a Psychiatric Component

Some special cases also present with a psychiatric component. In this article, we present a case of a patient with a Ragged-red Fibers-associated myoclonic epilepsy who presented with. The main symptomatic differences of Myoclonic Epilepsy Associated With Ragged-red Fibers from similar diseases is that it is a rare disease, with a prevalence of less than per , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"," , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"
OMIM:600131,"Epilepsy, Childhood Absence, Susceptibility To, 1","Rare disease patients have complex clinical representations. Patients with Epilepsy, Childhood Absence, Susceptibility To, 1 present clinical features that include absence seizures, generalized tonic-clonic seizures, myoclonic seizures, and atypical absence seizures. The clinical features of patients with Epilepsy, Childhood Absence, Susceptibility To, 1 are similar to those of patients with Epilepsy, Juvenile Myoclonic, Susceptibility To. Some special cases also present with generalized tonic-clonic seizures. Patients with Epilepsy, Childhood Absence, Susceptibility To, 1 have a high risk of developing generalized tonic-clonic seizures.

Rare disease patients have complex clinical representations. Patients with Epilepsy, Childhood Absence, Susceptibility To, 1 present clinical features that include absence seizures, generalized tonic-clonic seizures, myoclonic seizures, and atypical absence seizures. The clinical features of patients with Epilepsy, Childhood Absence, Susceptibility To, 1 are similar to those of patients with Epilepsy, Juvenile Myocl. The main symptomatic differences of Epilepsy, Childhood Absence, Susceptibility To, 1 from similar diseases is that patients with Epilepsy, Childhood Absence, Susceptibility To, 1 have a high risk of developing generalized tonic-clonic seizures.

Rare disease patients have complex clinical representations. Patients with Epilepsy, Childhood Absence, Susceptibility To, 1 present clinical features that include absence seizures,"," generalized tonic-clonic seizures, myoclonic seizures, and atypical absence seizures. The clinical features of patients with Epilepsy, Childhood Absence, Susceptibility To, 1 are similar to those of patients with Epilepsy"
OMIM:600176,"Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts","Rare disease patients have complex clinical representations. Patients with Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts present clinical features that include seizures, mental retardation, and arachnoid cysts. The most common associated clinical features are mental retardation, seizures, and arachnoid cysts.

Rare disease patients have complex clinical representations. Patients with Pachygyria With Mental Retardation, Seizures, And Arach. Some special cases also present clinical features related to arachnoid cysts.

Patients with Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts have a disease related mortality rate of less than 10%.

The life expectancy for patients with Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts is less than 65 years.

Patients with Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts have a disease related mortality rate of less than 10%.

The life expectancy for patients with. The main symptomatic differences of Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts from similar diseases is that Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts:

Rare disease patients have complex clinical representations. Patients with Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts present clinical features that include seizures, mental retard","ation, and arachnoid cysts. The most common associated clinical features are mental retardation, seizures, and arachnoid cysts.

Rare disease patients have complex clinical representations. Patients with Pachygyria With Mental Ret"
OMIM:600669,"Epilepsy, Idiopathic Generalized","Rare disease patients have complex clinical representations. Patients with Epilepsy, Idiopathic Generalized present clinical features that include seizures, cognitive impairment, and motor impairment.

The study of Epilepsy, Idiopathic Generalized is hampered by the lack of relevant cell lines and animal models. The aim of this study is to develop a cell line and an animal model of Epilepsy, Idiopathic Generalized.. Some special cases also present with intellectual disability, autism, and sleep disorders.

Epilepsy, Idiopathic Generalized is a rare disease. The incidence of Epilepsy, Idiopathic Generalized is estimated to be less than 1 in 200,000.

Epilepsy, Idiopathic Generalized is a rare disease. The incidence of Epilepsy, Idiopathic Generalized is estimated to be less than 1 in 200,000.

The study of Epilepsy, Idiopathic Generalized is hampered by the lack of relevant cell lines and animal models. The aim of this study is. The main symptomatic differences of Epilepsy, Idiopathic Generalized from similar diseases is that it is characterized by seizures, cognitive impairment, and motor impairment.

The study of Epilepsy, Idiopathic Generalized is hampered by the lack of relevant cell lines and animal models. The aim of this study is to develop a cell line and an animal model of Epilepsy, Idiopath","ic Generalized.

The study of Epilepsy, Idiopathic Generalized is hampered by the lack of relevant cell lines and animal models. The aim of this study is to develop a cell line and an animal model of Epile"
OMIM:601068,"Epilepsy, Familial Adult Myoclonic, 1","Rare disease patients have complex clinical representations. Patients with Epilepsy, Familial Adult Myoclonic, 1 present clinical features that include: myoclonus, epilepsy, cognitive impairment, and parkinsonism.

The clinical features of patients with Epilepsy, Familial Adult Myoclonic, 1 are variable. Some patients have myoclonus, epilepsy, and cognitive impairment, while others have myoclonus and parkinsonism. Some special cases also present with dementia.

The most common symptoms of Epilepsy, Familial Adult Myoclonic, 1 are: myoclonus, epilepsy, cognitive impairment, and parkinsonism.

The main clinical features of Epilepsy, Familial Adult Myoclonic, 1 are: myoclonus, epilepsy, cognitive impairment, and parkinsonism.

Epilepsy, Familial Adult Myoclonic, 1 is a rare disease. It can be congenital or acquired. The disease is caused by mutations in the EPM2A gene.

Epilepsy, Familial Adult Myoclonic. The main symptomatic differences of Epilepsy, Familial Adult Myoclonic, 1 from similar diseases is that it has myoclonus, epilepsy, cognitive impairment, and parkinsonism.

The most common symptoms of Epilepsy, Familial Adult Myoclonic, 1 are: myoclonus, epilepsy, cognitive impairment, and parkinsonism.

The main clinical features of Epilepsy,"," Familial Adult Myoclonic, 1 are: myoclonus, epilepsy, cognitive impairment, and parkinsonism.

Epilepsy, Familial Adult Myoclonic, 1 is a rare disease. It can be congenital or"
OMIM:601764,"Seizures, Benign Familial Infantile, 1","Rare disease patients have complex clinical representations. Patients with Seizures, Benign Familial Infantile, 1 present clinical features that include:

General

Affected patients may have an onset of seizures in infancy.

Neurologic

Seizures are the most common manifestation of this condition.

Seizures are the most common manifestation of this condition.

Seizures are the most common manifestation of. Some special cases also present with epilepsy.

Seizures are the most common manifestation of. Some special cases also present with epilepsy.

Seizures are the most common manifestation of. Some special cases also present with epilepsy.

Seizures are the most common manifestation of. Some special cases also present with epilepsy.

Seizures are the most common manifestation of. Some special cases also present with epilepsy.

Seizures are the most common manifestation of. Some special cases also present with epilepsy.

Seizures are the most common manifestation of. Some special cases also present with epilepsy.

Seizures. The main symptomatic differences of Seizures, Benign Familial Infantile, 1 from similar diseases is that Seizures, Benign Familial Infantile, 1 is an autosomal dominant disorder.

Seizures. The main symptomatic differences of Seizures, Benign Familial Infantile, 1 from similar diseases is that Seizures, Benign Familial Infantile, 1 is"," an autosomal dominant disorder.

Seizures. The main symptomatic differences of Seizures, Benign Familial Infantile, 1 from similar diseases is that Seizures, Benign Familial Infantile, 1 is"
OMIM:602066,"Convulsions, Familial Infantile, With Paroxysmal Choreoathetosis","Rare disease patients have complex clinical representations. Patients with Convulsions, Familial Infantile, With Paroxysmal Choreoathetosis present clinical features that include seizures, ataxia, choreoathetosis, and developmental delay.

Genetic analysis of the CACNA1A gene has revealed a heterozygous mutation in a patient with Convulsions, Familial Infantile, With Paroxysmal Choreoathetosis.

Conv. Some special cases also present with paroxysmal choreoathetosis.

Familial infantile convulsions with paroxysmal choreoathetosis.

Convulsions, familial infantile, with paroxysmal choreoathetosis.

Familial infantile convulsions with paroxysmal choreoathetosis.

Convulsions, familial infantile, with paroxysmal choreoathetosis.

Convulsions, familial infantile, with paroxysmal choreoathetosis.

Convulsions, familial infantile, with paroxys. The main symptomatic differences of Convulsions, Familial Infantile, With Paroxysmal Choreoathetosis from similar diseases is that Convulsions, Familial Infantile, With Paroxysmal Choreoathetosis may also be associated with ataxia, choreoathetosis, and developmental delay.

Convulsions, familial infantile, with paroxysmal choreoathetosis.

Convuls","ions, familial infantile, with paroxysmal choreoathetosis.

Convulsions, familial infantile, with paroxysmal choreoathetosis.

Convulsions, familial infantile, with par"
OMIM:602477,"Febrile Seizures, Familial, 2","Rare disease patients have complex clinical representations. Patients with Febrile Seizures, Familial, 2 present clinical features that include:

Febrile Seizures

Familial

2

Febrile Seizures, Familial, 2 is associated with significant morbidity. The disease is associated with significant morbidity. Febrile Seizures, Familial, 2 is also associated with mortality.
. Some special cases also present with a high mortality rate.

Febrile Seizures, Familial, 2 is a rare disease.

Febrile Seizures, Familial, 2 is caused by mutations in the CACNA1A gene. The CACNA1A gene provides instructions for making a protein called a voltage-gated calcium channel. Voltage-gated calcium channels are found in the membranes of certain nerve cells and muscle cells. These channels are critical for the normal transmission of signals from one nerve cell to another.

Voltage-gated calcium channels are composed of four subunits. Each subunit. The main symptomatic differences of Febrile Seizures, Familial, 2 from similar diseases is that it is caused by mutations in the CACNA1A gene. The CACNA1A gene provides instructions for making a protein called a voltage-gated calcium channel. Voltage-gated calcium channels are found in the membranes of certain nerve cells and muscle cells. These channels are critical for the normal transmission of"," signals from one nerve cell to another.

Voltage-gated calcium channels are composed of four subunits. Each subunit contains a protein called a calcium channel pore-forming subunit. The CACNA1A gene provides"
OMIM:603204,"Epilepsy, Nocturnal Frontal Lobe, 2","Rare disease patients have complex clinical representations. Patients with Epilepsy, Nocturnal Frontal Lobe, 2 present clinical features that include mental retardation, developmental delay, autism, and epilepsy. The disease is caused by mutations in the NFXL1 gene and is inherited in an autosomal recessive manner.. Some special cases also present with a distinctive facial appearance.

Epilepsy, Nocturnal Frontal Lobe, 2 is caused by mutations in the NFXL1 gene. The NFXL1 gene provides instructions for making a protein called NFXL1. This protein is found in the membranes of cells in the brain. The protein is involved in a process called vesicle transport. Vesicles are small, membrane-bound sacs that transport proteins and other molecules within cells. NFXL1 is thought to be involved in the transport of proteins from the Golgi apparatus to the cell surface.

The NFXL1 gene is. The main symptomatic differences of Epilepsy, Nocturnal Frontal Lobe, 2 from similar diseases is that it presents with a distinctive facial appearance.

The NFXL1 gene provides instructions for making a protein called NFXL1. This protein is found in the membranes of cells in the brain. The protein is involved in a process called vesicle transport. Vesicles are small, membrane-bound sacs"," that transport proteins and other molecules within cells. NFXL1 is thought to be involved in the transport of proteins from the Golgi apparatus to the cell surface.

The NFXL1 gene is located on the long (q) arm"
OMIM:604233,"Generalized Epilepsy With Febrile Seizures Plus, Type 1","Rare disease patients have complex clinical representations. Patients with Generalized Epilepsy With Febrile Seizures Plus, Type 1 present clinical features that include:

Seizures, which are the most common clinical feature, with a wide range of seizure types and seizure frequency.

A variety of developmental and behavioral problems, including developmental delay, autism spectrum disorder, and attention deficit hyperactivity disorder.

Other neurological problems, including movement disorders, sleep disorders,. Some special cases also present with mental retardation, microcephaly, and intellectual disability.

Cardiac problems, including atrial and ventricular arrhythmias, heart block, and congenital heart disease.

Gastrointestinal problems, including constipation, gastroesophageal reflux, and abdominal pain.

Respiratory problems, including apnea, recurrent pneumonia, and chronic lung disease.

Skin problems, including eczema, dermatitis, and skin infections.

Ophthalmologic problems, including strabismus, nystagmus, and refractive errors.

Other. The main symptomatic differences of Generalized Epilepsy With Febrile Seizures Plus, Type 1 from similar diseases is that the patient has a febrile seizure at least once in their life.

Diagnosis

The diagnosis of Generalized Epilepsy With Febrile Seizures Plus, Type 1 is based on the clinical features of the disease.

Genetic testing is available for this disease.
","
Genetic counseling is recommended for families with a child with this disease.

Treatment

The treatment of Generalized Epilepsy With Febrile Seizures Plus, Type 1 is based on the clinical features of the disease."
OMIM:604352,"Febrile Seizures, Familial, 4","Rare disease patients have complex clinical representations. Patients with Febrile Seizures, Familial, 4 present clinical features that include febrile seizures, developmental delay, and epilepsy. The disease is caused by mutations affecting the gene represented in this entry.

Febrile Seizures, Familial, 4 is a rare disease with a prevalence of less than 1 per million population.

Source - Orphanet. Some special cases also present with developmental delay, mental retardation, and epilepsy.

Febrile Seizures, Familial, 4 is a rare disease with a prevalence of less than 1 per million population.

Source - Orphanet. Febrile Seizures, Familial, 4 is a rare disease with a prevalence of less than 1 per million population.

Source - Orphanet. Febrile Seizures, Familial, 4 is a rare disease with a prevalence of less than 1 per million population.

Source - Orphanet. Febrile Seizures, Familial, 4 is a. The main symptomatic differences of Febrile Seizures, Familial, 4 from similar diseases is that Febrile Seizures, Familial, 4 patients have developmental delay, mental retardation, and epilepsy.

Febrile Seizures, Familial, 4 is a rare disease with a prevalence of less than 1 per million population.

Source - Orphanet. Febrile Seiz","ures, Familial, 4 is a rare disease with a prevalence of less than 1 per million population.

Source - Orphanet. Febrile Seizures, Familial, 4 is a rare disease with a prevalence of less than"
OMIM:604403,"Generalized Epilepsy With Febrile Seizures Plus, Type 2","Rare disease patients have complex clinical representations. Patients with Generalized Epilepsy With Febrile Seizures Plus, Type 2 present clinical features that include:

Generalized epilepsy with febrile seizures plus, type 2 is a rare genetic disorder. It is caused by mutations in the SCN1A gene. This gene provides instructions for making a protein called the Na+ channel alpha1 subunit. This protein is found in nerve cells in the brain and. Some special cases also present mutations in the SCN2A gene. This gene provides instructions for making a protein called the Na+ channel alpha2 subunit. This protein is also found in nerve cells in the brain and.

Generalized epilepsy with febrile seizures plus, type 2 is inherited in an autosomal dominant manner. This means that the defective gene responsible for the disorder is located on an autosome, and only one copy of the defective gene is sufficient to cause the disorder, when inherited from a parent who has the disorder.

Generalized epilepsy with febrile seizures plus, type 2 is caused by mutations in the SC. The main symptomatic differences of Generalized Epilepsy With Febrile Seizures Plus, Type 2 from similar diseases is that the seizures are not provoked by fever. The main clinical features of Generalized Epilepsy With Febrile Seizures Plus, Type 2 are:

Generalized epilepsy with febrile seizures plus, type 2 is a rare genetic disorder. It is caused by mutations in the SCN1A gene",. This gene provides instructions for making a protein called the Na+ channel alpha1 subunit. This protein is found in nerve cells in the brain and. Some special cases also present mutations in the SCN2A gene. This gene provides instructions for
OMIM:605013,Microhydranencephaly,"Rare disease patients have complex clinical representations. Patients with Microhydranencephaly present clinical features that include: microcephaly, microphthalmia, ptosis, arthrogryposis, hypotonia, seizures, mental retardation, and/or hydrocephalus. The severity of the clinical manifestations is variable, and the disease is progressive. The main clinical features are the microcephaly, microphthal. Some special cases also present other clinical features such as: arthrogryposis, ptosis, hypotonia, seizures, mental retardation, and/or hydrocephalus.

Microhydranencephaly is a rare disease. The prevalence is unknown.

The disease is caused by mutations in the ""PHOX2B"" gene. The ""PHOX2B"" gene provides instructions for making a protein called paired-like homeodomain transcription factor 2 beta. This protein is involved in the development of the brain and spinal cord.

The ""PHOX2B"" gene is located on the short (p) arm. The main symptomatic differences of Microhydranencephaly from similar diseases is that the ""PHOX2B"" gene is located on the short (p) arm of chromosome 7.

The disease is inherited in an autosomal recessive manner. This means the defective gene responsible for the disease is located on an autosome, and two copies of the defective gene (one inherited from each parent",") are required in order to be born with the disease. The parents of an individual with an autosomal recessive disorder both carry one copy of the defective gene, but usually do not experience any signs or symptoms of the disorder.

This disease"
OMIM:605021,"Myoclonic Epilepsy, Familial Infantile","Rare disease patients have complex clinical representations. Patients with Myoclonic Epilepsy, Familial Infantile present clinical features that include epilepsy, ataxia, and mental retardation. This clinical presentation is similar to other epileptic syndromes, such as Landau-Kleffner syndrome, Dravet syndrome, and Lennox-Gastaut syndrome.

The identification of the gene responsible for this disease has been a challenge. Some special cases also present with a progressive encephalopathy, which can be associated with mental retardation, seizures, and other neurological signs.

The clinical features of this disease are very similar to other epileptic syndromes, such as Landau-Kleffner syndrome, Dravet syndrome, and Lennox-Gastaut syndrome.

The identification of the gene responsible for this disease has been a challenge. Some special cases also present with a progressive encephalopathy, which can be associated with mental retardation, seizures, and other neurological signs.

The clinical features of this disease are very similar to other epileptic syndrom. The main symptomatic differences of Myoclonic Epilepsy, Familial Infantile from similar diseases is that the seizures are usually myoclonic, tonic, or atonic, and they are not associated with a progressive encephalopathy.

The identification of the gene responsible for this disease has been a challenge. Some special cases also present with a progressive encephalopathy, which can be associated with mental retardation,"," seizures, and other neurological signs.

The clinical features of this disease are very similar to other epileptic syndrom. The main symptomatic differences of Myoclonic Epilepsy, Familial Infantile from similar diseases is that the seizures"
OMIM:605751,"Seizures, Benign Familial Infantile, 2","Rare disease patients have complex clinical representations. Patients with Seizures, Benign Familial Infantile, 2 present clinical features that include developmental delay, intellectual disability, seizures, and ataxia. The clinical features of patients with Seizures, Benign Familial Infantile, 2 are highly variable. The most common clinical features include developmental delay, intellectual disability, seizures, and ataxia. The clinical features of patients with Seizures. Some special cases also present with hypopigmentation, ocular abnormalities, and dysmorphic features.

The clinical features of patients with Seizures, Benign Familial Infantile, 2 are highly variable. The most common clinical features include developmental delay, intellectual disability, seizures, and ataxia. The clinical features of patients with Seizures. Some special cases also present with hypopigmentation, ocular abnormalities, and dysmorphic features.

The clinical features of patients with Seizures, Benign Familial Infantile, 2 are highly variable. The most common clinical features include developmental delay, intellectual disability,. The main symptomatic differences of Seizures, Benign Familial Infantile, 2 from similar diseases is that Seizures, Benign Familial Infantile, 2 is characterized by developmental delay, intellectual disability, seizures, and ataxia.

The main symptomatic differences of Seizures, Benign Familial Infantile, 2 from similar diseases is that Seizures, Benign Familial Inf","antile, 2 is characterized by developmental delay, intellectual disability, seizures, and ataxia.

The main symptomatic differences of Seizures, Benign Familial Infantile, 2 from similar diseases is that Seizures,"
OMIM:606369,Macrocephaly And Epileptic Encephalopathy,"Rare disease patients have complex clinical representations. Patients with Macrocephaly And Epileptic Encephalopathy present clinical features that include seizures, intellectual disability, developmental delay, macrocephaly, and other neurological abnormalities.

Macrocephaly And Epileptic Encephalopathy is caused by mutations affecting the gene represented in this entry.

Macrocephaly And Epileptic Encephalopathy is inherited in an. Some special cases also present sporadic cases.. The main symptomatic differences of Macrocephaly And Epileptic Encephalopathy from similar diseases is that Macrocephaly And Epileptic Encephalopathy is characterized by seizures, intellectual disability, developmental delay, macrocephaly, and other neurological abnormalities.

Macrocephaly And Epileptic Encephalopathy is caused by mutations affecting the gene represented in this entry.","

Macrocephaly And Epileptic Encephalopathy is inherited in an. Some special cases also present sporadic cases.. The main symptomatic differences of Macrocephaly And Epileptic Encephalopathy from similar diseases is"
OMIM:606812,Fumarase Deficiency,"Rare disease patients have complex clinical representations. Patients with Fumarase Deficiency present clinical features that include:

· Progressive loss of vision

· Seizures

· Hypotonia

· Muscle weakness

· Developmental delay

· Behavioral problems

· Hyperactivity

· Severe learning disabilities

· Cerebral palsy

· Heart defects

· Ab. Some special cases also present with:

· Microcephaly

· Hydrocephalus

· Hypoplastic kidneys

· Hypoplastic lungs

· Dysmorphic facial features

· Short stature

· Abnormalities of the teeth

· Abnormalities of the bones

· Abnormalities of the hands and feet

· Abnormalities of the fingers

· Abnormalities of the toes

· Abnormalities of the nose

· Abnormalities of the eyes

· Abnormalities of the ears

· Abnormalities of the mouth

·. The main symptomatic differences of Fumarase Deficiency from similar diseases is that the patients present with a more severe phenotype.

·. Fumarase Deficiency is a very rare disease. The prevalence of Fumarase Deficiency is estimated to be 1 in 100,000.

·. Fumarase Deficiency is a recessive disease.

·. Fumarase"," Deficiency is caused by a mutation in the FH gene.

·. Fumarase Deficiency is a disease that is inherited in an autosomal recessive manner.

·. Fumarase Deficiency is a disease that is"
OMIM:607208,Dravet Syndrome,"Rare disease patients have complex clinical representations. Patients with Dravet Syndrome present clinical features that include intractable seizures, developmental delay, cognitive impairment, and sleep disturbance. The syndrome is caused by a mutation in the SCN1A gene, which encodes the voltage-gated sodium channel Na V 1.1. This mutation results in an increased permeability of the cell membrane to sodium ions, which leads. Some special cases also present a mutation in the SCN2A gene, which encodes the voltage-gated sodium channel Na V 1.2. This mutation results in an increased permeability of the cell membrane to sodium ions, which leads to hyperexcitability of the neurons.

The drug has been shown to be effective in the treatment of Dravet Syndrome in a phase II clinical trial. The trial was conducted in the United States and enrolled 20 patients with Dravet Syndrome. The patients were treated with Epidiolex or placebo for 14 weeks. The patients treated with Epidiolex had a significant reduction in the frequency of conv. The main symptomatic differences of Dravet Syndrome from similar diseases is that the patients have intractable seizures, developmental delay, cognitive impairment, and sleep disturbance.

The most common adverse events reported in the trial were somnolence, decreased appetite, diarrhea, fatigue, pyrexia, and vomiting. The most common adverse events leading to discontinuation were diarrhea, vomiting, fatigue",", pyrexia, somnolence, and decreased appetite.

The drug has been shown to be effective in the treatment of Dravet Syndrome in a phase II clinical trial. The trial was conducted in the United States and enrolled 20"
